College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Citrus,2016-2017,82751.0,58633.0,75920.0,54341.0,68738.0,49201.0
Citrus,2017-2018,81473.0,58056.0,75010.0,54063.0,67820.0,48881.0
Citrus,2018-2019,82222.0,58688.0,79227.0,56901.0,70555.0,50823.0
Citrus,2019-2020,74361.0,55667.0,71615.0,53799.0,67107.0,50303.0
Citrus,2020-2021,66313.0,48531.0,64196.0,47080.0,60653.0,44345.0
Citrus,2021-2022,56133.0,41135.0,54569.0,40063.0,50834.0,37016.0
Citrus,2022-2023,58388.0,43318.0,56463.0,41947.0,52590.0,38686.0
Citrus,2023-2024,60287.0,45717.0,58367.0,44380.0,54701.0,41244.0
Clovis,2014-2015,0.0,0.0,0.0,0.0,0.0,0.0
Clovis,2015-2016,30865.0,21589.0,29832.0,20944.0,27576.0,19524.0
Clovis,2016-2017,32792.0,23912.0,31660.0,23196.0,29385.0,21836.0
Clovis,2017-2018,35175.0,25749.0,33932.0,24952.0,31694.0,23654.0
Clovis,2018-2019,37589.0,27709.0,35988.0,26807.0,34531.0,25987.0
Clovis,2019-2020,38917.0,30064.0,37955.0,29488.0,37429.0,29143.0
Clovis,2020-2021,35687.0,27495.0,35163.0,27195.0,34766.0,26944.0
Clovis,2021-2022,33566.0,24742.0,33084.0,24499.0,32704.0,24277.0
Clovis,2022-2023,35164.0,26083.0,34732.0,25857.0,34657.0,25803.0
Clovis,2023-2024,39646.0,30167.0,39360.0,30037.0,39330.0,30013.0
Coastline,2014-2015,46876.0,30210.0,43837.0,28033.0,42068.0,27066.0
Coastline,2015-2016,47462.0,30897.0,44456.0,28623.0,42568.0,27490.0
Coastline,2016-2017,44701.0,29726.0,42159.0,27898.0,40369.0,26858.0
Coastline,2017-2018,45338.0,31766.0,42882.0,30010.0,41106.0,28884.0
Coastline,2018-2019,43689.0,30893.0,41941.0,29596.0,40575.0,28725.0
Coastline,2019-2020,41342.0,30055.0,40255.0,29182.0,39339.0,28614.0
Coastline,2020-2021,31300.0,23838.0,30619.0,23284.0,30057.0,22912.0
Coastline,2021-2022,25996.0,19621.0,25438.0,19198.0,24832.0,18793.0
Coastline,2022-2023,28709.0,20856.0,28061.0,20392.0,27676.0,20132.0
Coastline,2023-2024,31439.0,22968.0,30799.0,22508.0,30616.0,22348.0
Columbia,2014-2015,13277.0,9767.0,12865.0,9452.0,9684.0,7096.0
Columbia,2015-2016,13254.0,9694.0,12795.0,9346.0,9829.0,7103.0
Columbia,2016-2017,13237.0,9875.0,12936.0,9689.0,9764.0,7253.0
Columbia,2017-2018,13081.0,9892.0,12823.0,9724.0,10099.0,7657.0
Columbia,2018-2019,13218.0,9946.0,13110.0,9902.0,10884.0,8212.0
Columbia,2019-2020,12289.0,9846.0,12230.0,9805.0,10528.0,8466.0
Columbia,2020-2021,9547.0,8042.0,9529.0,8030.0,8468.0,7106.0
Columbia,2021-2022,10892.0,7912.0,10877.0,7901.0,9265.0,6697.0
Columbia,2022-2023,12073.0,9042.0,12048.0,9022.0,10136.0,7396.0
Columbia,2023-2024,13403.0,10110.0,13385.0,10096.0,11111.0,8174.0
Compton,2014-2015,34405.0,21636.0,30617.0,19546.0,26133.0,17065.0
Compton,2015-2016,32708.0,21442.0,29439.0,19637.0,25485.0,17454.0
Compton,2016-2017,33817.0,22450.0,30713.0,20720.0,26597.0,18484.0
Compton,2017-2018,32150.0,21524.0,29691.0,20077.0,26020.0,17990.0
Compton,2018-2019,29854.0,20103.0,28318.0,19275.0,25659.0,17854.0
Compton,2019-2020,23638.0,17062.0,22992.0,16757.0,21895.0,16256.0
Compton,2020-2021,19854.0,13940.0,19714.0,13855.0,19231.0,13607.0
Compton,2021-2022,17556.0,11888.0,17399.0,11771.0,17100.0,11621.0
Compton,2022-2023,18615.0,12572.0,18400.0,12430.0,18232.0,12331.0
Compton,2023-2024,22274.0,14907.0,22136.0,14801.0,22084.0,14762.0
Contra Costa,2014-2015,34575.0,24705.0,28706.0,21065.0,24830.0,18166.0
Contra Costa,2015-2016,33836.0,24125.0,28435.0,20619.0,25372.0,18351.0
Contra Costa,2016-2017,33501.0,23552.0,28527.0,20384.0,25375.0,18046.0
Contra Costa,2017-2018,32492.0,23097.0,28694.0,20684.0,25999.0,18692.0
Contra Costa,2018-2019,33380.0,23507.0,30472.0,21725.0,27780.0,19823.0
Contra Costa,2019-2020,28765.0,21906.0,27464.0,20947.0,24844.0,19054.0
Contra Costa,2020-2021,26386.0,19553.0,25644.0,18995.0,23642.0,17466.0
Contra Costa,2021-2022,24983.0,17368.0,24433.0,17032.0,22637.0,15706.0
Contra Costa,2022-2023,26437.0,18601.0,26097.0,18368.0,24156.0,17064.0
Contra Costa,2023-2024,42296.0,30737.0,41750.0,30375.0,39322.0,28536.0
Copper Mountain,2014-2015,9282.0,6457.0,7476.0,5342.0,6442.0,4620.0
Copper Mountain,2015-2016,9487.0,6944.0,7755.0,5781.0,6705.0,5068.0
Copper Mountain,2016-2017,8998.0,6665.0,7631.0,5741.0,6707.0,5074.0
Copper Mountain,2017-2018,9539.0,7175.0,8174.0,6259.0,7158.0,5537.0
Copper Mountain,2018-2019,8969.0,6814.0,8180.0,6310.0,7198.0,5585.0
Copper Mountain,2019-2020,7854.0,5968.0,7618.0,5828.0,6926.0,5364.0
Copper Mountain,2020-2021,7557.0,5519.0,7453.0,5467.0,6892.0,5020.0
