College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Moreno Valley,2023-2024,48103,42864,33417,47448,42473,33196,42433,37630,29115
Mt San Antonio,2020-2021,134962,133201,114452,129104,127530,110005,119810,118346,102148
Mt San Antonio,2021-2022,152551,130607,104445,146290,125461,100834,136145,116734,93596
Mt San Antonio,2022-2023,161445,139881,112337,155191,134792,108850,145794,126254,101436
Mt San Antonio,2023-2024,176067,151460,123941,170340,146907,120649,160396,137948,112805
Mt. San Jacinto,2020-2021,83212,73097,60345,83159,73047,60300,78733,69297,57360
Mt. San Jacinto,2021-2022,82927,71323,57727,82878,71278,57687,79472,68487,55612
Mt. San Jacinto,2022-2023,97509,85885,69741,97437,85821,69683,94130,83056,67454
Mt. San Jacinto,2023-2024,106636,94535,77913,106543,94447,77830,103085,91516,75431
Napa,2020-2021,28573,25602,20581,27791,24955,20172,26653,23962,19463
Napa,2021-2022,23196,20383,16479,22609,19936,16207,21861,19309,15743
Napa,2022-2023,23189,20794,16664,22792,20456,16461,22116,19876,16094
Napa,2023-2024,22972,21963,17389,22750,21751,17255,22201,21227,16916
Norco College,2020-2021,45672,39948,32007,43993,38489,30944,42796,37466,30114
Norco College,2021-2022,39873,34807,28083,38597,33720,27288,37629,32862,26539
Norco College,2022-2023,45329,40308,32082,43727,38906,30956,42921,38176,30385
Norco College,2023-2024,51228,45642,37015,49512,44151,35834,48684,43348,35079
Ohlone,2020-2021,60062,54962,50161,50678,45777,41255,49750,44974,40547
Ohlone,2021-2022,50861,46181,41531,42562,38038,33590,41556,37138,32776
Ohlone,2022-2023,48641,43622,38135,44925,40002,34715,43982,39137,33944
Ohlone,2023-2024,46215,41586,35910,42484,37937,32441,40868,36402,31231
Orange Coast,2020-2021,111023,96908,83970,107935,94426,81910,107026,93683,81301
Orange Coast,2021-2022,101153,88300,75938,98946,86529,74492,98031,85806,73866
Orange Coast,2022-2023,105272,92432,79511,103368,90873,78248,102525,90200,77646
Orange Coast,2023-2024,108583,95686,81882,106165,93709,80166,106062,93631,80100
Oxnard,2020-2021,36675,32041,27879,35950,31384,27331,33389,29086,25394
Oxnard,2021-2022,31734,28142,24551,31124,27591,24074,27258,24075,20918
Oxnard,2022-2023,34737,30896,26547,33714,30000,25860,29070,25741,22037
