College,Year,Student Count,EOPS Student Count
LA City,2015-2016,32437,2647
LA City,2016-2017,30911,2481
LA City,2017-2018,28363,2305
LA City,2018-2019,28701,2383
LA City,2019-2020,29684,2327
LA City,2020-2021,26663,2013
LA City,2021-2022,23496,1599
LA City,2022-2023,25402,1635
LA City,2023-2024,27679,1600
LA Harbor,2014-2015,13608,410
LA Harbor,2015-2016,13433,602
LA Harbor,2016-2017,13153,762
LA Harbor,2017-2018,13018,763
LA Harbor,2018-2019,12229,772
LA Harbor,2019-2020,12811,800
LA Harbor,2020-2021,11880,566
LA Harbor,2021-2022,10054,451
LA Harbor,2022-2023,11997,574
LA Harbor,2023-2024,14753,614
LA ITV,2014-2015,1252,0
LA ITV,2015-2016,1111,0
LA ITV,2016-2017,1352,0
LA ITV,2017-2018,869,0
LA ITV,2018-2019,726,0
LA Mission,2014-2015,15198,788
LA Mission,2015-2016,15445,868
LA Mission,2016-2017,16313,741
LA Mission,2017-2018,16690,671
LA Mission,2018-2019,16535,701
LA Mission,2019-2020,17046,763
LA Mission,2020-2021,15162,642
LA Mission,2021-2022,14768,592
LA Mission,2022-2023,15722,669
LA Mission,2023-2024,18535,852
LA Pierce,2014-2015,31431,1115
LA Pierce,2015-2016,31222,1181
LA Pierce,2016-2017,31090,1273
LA Pierce,2017-2018,29157,1153
LA Pierce,2018-2019,28959,1145
LA Pierce,2019-2020,29242,1218
LA Pierce,2020-2021,26460,942
LA Pierce,2021-2022,22538,649
LA Pierce,2022-2023,23544,792
LA Pierce,2023-2024,25065,794
LA Swest,2014-2015,12339,672
LA Swest,2015-2016,13040,583
LA Swest,2016-2017,12864,615
LA Swest,2017-2018,12325,620
LA Swest,2018-2019,11988,576
LA Swest,2019-2020,12442,484
LA Swest,2020-2021,9617,260
LA Swest,2021-2022,8711,202
LA Swest,2022-2023,9703,299
LA Swest,2023-2024,9884,306
LA Trade,2014-2015,23339,2159
LA Trade,2015-2016,25288,2390
LA Trade,2016-2017,25025,2341
LA Trade,2017-2018,23695,1701
LA Trade,2018-2019,23200,1802
LA Trade,2019-2020,22900,1720
LA Trade,2020-2021,19760,832
LA Trade,2021-2022,16909,718
LA Trade,2022-2023,17889,1039
LA Trade,2023-2024,20949,1259
LA Valley,2014-2015,27967,1191
LA Valley,2015-2016,28084,1331
LA Valley,2016-2017,27706,1246
LA Valley,2017-2018,26929,1167
LA Valley,2018-2019,27111,1105
LA Valley,2019-2020,26923,1133
LA Valley,2020-2021,24593,915
LA Valley,2021-2022,21931,865
LA Valley,2022-2023,24500,1104
LA Valley,2023-2024,26279,1116
Lake Tahoe,2014-2015,5927,124
Lake Tahoe,2015-2016,6022,147
Lake Tahoe,2016-2017,5518,158
Lake Tahoe,2017-2018,6769,175
Lake Tahoe,2018-2019,7429,143
Lake Tahoe,2019-2020,6908,145
Lake Tahoe,2020-2021,5931,92
Lake Tahoe,2021-2022,6309,77
Lake Tahoe,2022-2023,8652,112
Lake Tahoe,2023-2024,9598,158
Laney,2014-2015,18885,553
Laney,2015-2016,19195,601
Laney,2016-2017,17922,816
Laney,2017-2018,17967,931
Laney,2018-2019,17761,893
Laney,2019-2020,17755,853
Laney,2020-2021,15666,596
Laney,2021-2022,14453,476
Laney,2022-2023,16010,481
Laney,2023-2024,16544,505
Las Positas,2014-2015,11873,211
Las Positas,2015-2016,12459,243
Las Positas,2016-2017,12864,251
Las Positas,2017-2018,12785,285
Las Positas,2018-2019,12502,344
Las Positas,2019-2020,12046,359
Las Positas,2020-2021,11004,299
Las Positas,2021-2022,9180,222
Las Positas,2022-2023,9398,237
Las Positas,2023-2024,10505,278
Lassen,2014-2015,4715,209
Lassen,2015-2016,4386,196
Lassen,2016-2017,3810,182
Lassen,2017-2018,4152,241
Lassen,2018-2019,4468,184
Lassen,2019-2020,3939,216
Lassen,2020-2021,2734,156
Lassen,2021-2022,2560,105
Lassen,2022-2023,2869,212
Lassen,2023-2024,2996,211
Long Beach,2014-2015,33767,1575
Long Beach,2015-2016,34018,1516
Long Beach,2016-2017,35485,1464
Long Beach,2017-2018,35254,1710
Long Beach,2018-2019,35496,1572
Long Beach,2019-2020,36392,1740
Long Beach,2020-2021,34542,1442
Long Beach,2021-2022,34283,1173
Long Beach,2022-2023,34567,1227
Long Beach,2023-2024,38385,1515
Los Medanos,2014-2015,12551,472
Los Medanos,2015-2016,12810,567
Los Medanos,2016-2017,12800,676
Los Medanos,2017-2018,13174,674
Los Medanos,2018-2019,13577,789
Los Medanos,2019-2020,13130,714
Los Medanos,2020-2021,11651,618
Los Medanos,2021-2022,10242,496
Los Medanos,2022-2023,10507,524
Los Medanos,2023-2024,11186,667
Madera,2020-2021,6613,248
Madera,2021-2022,7673,206
Madera,2022-2023,8569,232
Madera,2023-2024,10131,323
Marin,2014-2015,9350,283
Marin,2015-2016,9335,308
Marin,2016-2017,9639,327
Marin,2017-2018,9992,307
Marin,2018-2019,9749,315
Marin,2019-2020,9185,315
Marin,2020-2021,6726,284
Marin,2021-2022,7291,292
Marin,2022-2023,7706,291
Marin,2023-2024,8828,295
Mendocino,2014-2015,6519,271
Mendocino,2015-2016,6772,427
Mendocino,2016-2017,6901,467
Mendocino,2017-2018,6688,513
Mendocino,2018-2019,6716,515
Mendocino,2019-2020,6658,560
Mendocino,2020-2021,4469,426
Mendocino,2021-2022,5031,383
Mendocino,2022-2023,5987,411
Mendocino,2023-2024,6874,473
Merced,2014-2015,14694,950
Merced,2015-2016,14858,1089
Merced,2016-2017,15533,1138
Merced,2017-2018,16480,1098
Merced,2018-2019,16893,1136
Merced,2019-2020,16496,1130
Merced,2020-2021,13325,927
Merced,2021-2022,13499,1053
Merced,2022-2023,14991,1178
Merced,2023-2024,16646,1319
Merritt,2014-2015,10495,486
Merritt,2015-2016,10767,520
Merritt,2016-2017,10978,504
Merritt,2017-2018,11544,579
Merritt,2018-2019,12705,519
Merritt,2019-2020,11930,450
Merritt,2020-2021,11128,305
Merritt,2021-2022,11088,170
Merritt,2022-2023,11182,169
Merritt,2023-2024,12277,224
MiraCosta,2014-2015,23613,557
MiraCosta,2015-2016,24117,636
MiraCosta,2016-2017,23700,677
MiraCosta,2017-2018,23392,575
MiraCosta,2018-2019,22304,690
MiraCosta,2019-2020,21139,651
MiraCosta,2020-2021,15868,527
MiraCosta,2021-2022,14886,502
MiraCosta,2022-2023,15838,532
MiraCosta,2023-2024,17559,571
Mission,2014-2015,14584,350
Mission,2015-2016,14792,380
Mission,2016-2017,15255,505
Mission,2017-2018,14007,408
Mission,2018-2019,14084,406
Mission,2019-2020,12965,406
Mission,2020-2021,10500,370
Mission,2021-2022,9782,321
Mission,2022-2023,10006,422
Mission,2023-2024,11083,469
Modesto,2014-2015,24535,935
Modesto,2015-2016,24297,1240
Modesto,2016-2017,24614,1279
Modesto,2017-2018,24834,1322
Modesto,2018-2019,25474,1311
Modesto,2019-2020,25708,1389
Modesto,2020-2021,20468,1138
Modesto,2021-2022,20145,1207
Modesto,2022-2023,21183,1090
Modesto,2023-2024,22533,1329
Monterey,2014-2015,14729,432
Monterey,2015-2016,13850,613
Monterey,2016-2017,15099,708
Monterey,2017-2018,13032,730
Monterey,2018-2019,12729,752
Monterey,2019-2020,11952,814
Monterey,2020-2021,10115,520
Monterey,2021-2022,9573,504
Monterey,2022-2023,9789,554
Monterey,2023-2024,10783,582
Moorpark,2014-2015,18774,448
Moorpark,2015-2016,19230,463
Moorpark,2016-2017,19416,461
Moorpark,2017-2018,19944,495
Moorpark,2018-2019,19899,475
Moorpark,2019-2020,20210,499
Moorpark,2020-2021,20043,413
Moorpark,2021-2022,17643,417
Moorpark,2022-2023,17846,395
Moorpark,2023-2024,19895,553
Moreno Valley,2014-2015,12937,355
Moreno Valley,2015-2016,13552,464
Moreno Valley,2016-2017,14381,447
Moreno Valley,2017-2018,14927,499
Moreno Valley,2018-2019,15342,581
Moreno Valley,2019-2020,15861,664
Moreno Valley,2020-2021,13599,587
Moreno Valley,2021-2022,10941,472
Moreno Valley,2022-2023,13392,370
Moreno Valley,2023-2024,15383,333
Mt San Antonio,2014-2015,58154,853
Mt San Antonio,2015-2016,59897,1035
Mt San Antonio,2016-2017,62556,1015
Mt San Antonio,2017-2018,66453,1294
Mt San Antonio,2018-2019,66744,1304
Mt San Antonio,2019-2020,68131,1405
Mt San Antonio,2020-2021,42689,1316
Mt San Antonio,2021-2022,42832,1256
Mt San Antonio,2022-2023,61142,1384
Mt San Antonio,2023-2024,60366,1451
Mt. San Jacinto,2014-2015,21458,427
Mt. San Jacinto,2015-2016,23018,499
Mt. San Jacinto,2016-2017,23017,465
Mt. San Jacinto,2017-2018,23350,478
Mt. San Jacinto,2018-2019,23604,454
Mt. San Jacinto,2019-2020,23224,465
Mt. San Jacinto,2020-2021,18861,383
Mt. San Jacinto,2021-2022,18904,319
Mt. San Jacinto,2022-2023,22122,395
Mt. San Jacinto,2023-2024,24585,445
Napa,2014-2015,9506,234
Napa,2015-2016,9409,250
Napa,2016-2017,9113,325
Napa,2017-2018,8887,321
Napa,2018-2019,8184,294
Napa,2019-2020,7932,288
Napa,2020-2021,6558,258
Napa,2021-2022,5876,233
Napa,2022-2023,5804,196
Napa,2023-2024,5883,201
Norco,2014-2015,13111,305
Norco,2015-2016,13406,321
Norco,2016-2017,14027,378
Norco,2017-2018,14703,444
Norco,2018-2019,15354,400
Norco,2019-2020,16696,400
Norco,2020-2021,14431,346
Norco,2021-2022,12001,308
Norco,2022-2023,13538,344
Norco,2023-2024,15285,431
North Orange Adult,2014-2015,25713,0
North Orange Adult,2015-2016,24352,0
North Orange Adult,2016-2017,23434,0
North Orange Adult,2017-2018,22188,0
North Orange Adult,2018-2019,21329,0
North Orange Adult,2019-2020,17310,0
North Orange Adult,2020-2021,761,0
North Orange Adult,2021-2022,6535,0
North Orange Adult,2022-2023,10670,0
North Orange Adult,2023-2024,11778,0
Ohlone,2014-2015,17161,203
Ohlone,2015-2016,16894,211
Ohlone,2016-2017,17152,243
Ohlone,2017-2018,15171,273
Ohlone,2018-2019,15738,262
Ohlone,2019-2020,17732,291
Ohlone,2020-2021,17364,287
Ohlone,2021-2022,16216,203
Ohlone,2022-2023,15088,130
Ohlone,2023-2024,14415,174
Orange Coast,2014-2015,28545,1353
Orange Coast,2015-2016,28939,1473
Orange Coast,2016-2017,28773,1526
Orange Coast,2017-2018,28875,1319
Orange Coast,2018-2019,27952,1442
Orange Coast,2019-2020,26919,1238
Orange Coast,2020-2021,24478,1164
Orange Coast,2021-2022,22503,975
Orange Coast,2022-2023,22411,1026
Orange Coast,2023-2024,23024,1100
Oxnard,2014-2015,10484,817
Oxnard,2015-2016,10500,877
Oxnard,2016-2017,10729,920
Oxnard,2017-2018,10755,874
Oxnard,2018-2019,10577,837
Oxnard,2019-2020,10745,881
Oxnard,2020-2021,9880,653
Oxnard,2021-2022,9331,627
Oxnard,2022-2023,9738,656
Oxnard,2023-2024,10775,799
Palo Verde,2014-2015,5632,449
Palo Verde,2015-2016,6689,445
Palo Verde,2016-2017,6319,486
Palo Verde,2017-2018,6742,671
Palo Verde,2018-2019,6033,770
Palo Verde,2019-2020,6493,806
Palo Verde,2020-2021,4746,619
Palo Verde,2021-2022,5641,597
Palo Verde,2022-2023,5967,624
Palo Verde,2023-2024,5514,646
Palomar,2014-2015,37485,852
Palomar,2015-2016,36197,916
Palomar,2016-2017,37058,1018
Palomar,2017-2018,36690,894
Palomar,2018-2019,36367,859
Palomar,2019-2020,35484,859
Palomar,2020-2021,27061,602
Palomar,2021-2022,23418,569
Palomar,2022-2023,25754,602
Palomar,2023-2024,27369,598
Pasadena,2014-2015,41172,807
Pasadena,2015-2016,41119,856
Pasadena,2016-2017,43781,910
Pasadena,2017-2018,41753,924
Pasadena,2018-2019,40742,1083
Pasadena,2019-2020,40324,1045
Pasadena,2020-2021,33246,877
Pasadena,2021-2022,27758,884
Pasadena,2022-2023,30472,818
Pasadena,2023-2024,36100,1141
Porterville,2014-2015,5073,464
Porterville,2015-2016,5217,721
Porterville,2016-2017,5503,733
Porterville,2017-2018,5281,720
